review,sentiment
The technician was negligent and ignored my concerns,negative
The receptionist was negligent and ignored my concerns,negative
The doctor was negligent and dismissed my symptoms,negative
The receptionist was unprofessional and ignored my concerns,negative
The doctor was unprofessional and dismissed my symptoms,negative
The doctor was unprofessional and dismissed my symptoms,negative
The doctor was incompetent and dismissed my symptoms,negative
"Terrible treatment, waited 5 hours in emergency",negative
The neurology staff was incompetent and unhelpful,negative
"Got negligent treatment, my condition worsened",negative
"Terrible care, waited 4 hours in emergency",negative
The doctor was negligent and dismissed my symptoms,negative
"Terrible care, waited 2 hours in emergency",negative
"Got incompetent treatment, my condition worsened",negative
The technician was dismissive and ignored my concerns,negative
The specialist was incompetent and ignored my concerns,negative
The orthopedics staff was rude and unhelpful,negative
The receptionist was unprofessional and ignored my concerns,negative
"Got rude treatment, my condition worsened",negative
"Got dismissive treatment, my condition worsened",negative
"Got dismissive treatment, my condition worsened",negative
The doctor was incompetent and ignored my concerns,negative
"Got dismissive treatment, my condition worsened",negative
"Got dismissive treatment, my condition worsened",negative
The orthopedics staff was rude and unhelpful,negative
The technician was unprofessional and ignored my concerns,negative
"Terrible treatment, waited 2 hours in emergency",negative
The technician was unprofessional and ignored my concerns,negative
"Terrible service, waited 2 hours in emergency",negative
"Terrible treatment, waited 6 hours in emergency",negative
The doctor was rude and dismissed my symptoms,negative
The doctor was negligent and dismissed my symptoms,negative
The doctor was unprofessional and dismissed my symptoms,negative
"Got rude treatment, my condition worsened",negative
"Terrible service, waited 4 hours in emergency",negative
The technician was rude and ignored my concerns,negative
"Got rude treatment, my condition worsened",negative
The cardiology staff was rude and unhelpful,negative
The orthopedics staff was dismissive and unhelpful,negative
The doctor was incompetent and ignored my concerns,negative
"Terrible care, waited 3 hours in emergency",negative
"Got negligent treatment, my condition worsened",negative
The doctor was incompetent and dismissed my symptoms,negative
The neurology staff was negligent and unhelpful,negative
"Got dismissive treatment, my condition worsened",negative
The oncology staff was negligent and unhelpful,negative
The surgeon was negligent and ignored my concerns,negative
The doctor was unprofessional and dismissed my symptoms,negative
"Terrible service, waited 7 hours in emergency",negative
The doctor was rude and dismissed my symptoms,negative
The surgeon was rude and ignored my concerns,negative
"Terrible treatment, waited 7 hours in emergency",negative
"Terrible treatment, waited 7 hours in emergency",negative
The receptionist was rude and ignored my concerns,negative
"Got unprofessional treatment, my condition worsened",negative
"Got dismissive treatment, my condition worsened",negative
"Got unprofessional treatment, my condition worsened",negative
"Got unprofessional treatment, my condition worsened",negative
The doctor was unprofessional and dismissed my symptoms,negative
The technician was rude and ignored my concerns,negative
The doctor was dismissive and dismissed my symptoms,negative
The doctor was negligent and dismissed my symptoms,negative
"Terrible care, waited 4 hours in emergency",negative
The pediatrics staff was unprofessional and unhelpful,negative
The doctor was rude and dismissed my symptoms,negative
"Got negligent treatment, my condition worsened",negative
The oncology staff was rude and unhelpful,negative
The doctor was dismissive and dismissed my symptoms,negative
The specialist was rude and ignored my concerns,negative
The technician was rude and ignored my concerns,negative
The neurology staff was unprofessional and unhelpful,negative
The emergency staff was dismissive and unhelpful,negative
The surgeon was dismissive and ignored my concerns,negative
"Terrible care, waited 5 hours in emergency",negative
"Terrible treatment, waited 7 hours in emergency",negative
The specialist was dismissive and ignored my concerns,negative
The doctor was incompetent and dismissed my symptoms,negative
The orthopedics staff was rude and unhelpful,negative
The doctor was dismissive and dismissed my symptoms,negative
"Terrible care, waited 3 hours in emergency",negative
"Terrible treatment, waited 2 hours in emergency",negative
The nurse was negligent and ignored my concerns,negative
The doctor was rude and dismissed my symptoms,negative
The doctor was rude and dismissed my symptoms,negative
"Got rude treatment, my condition worsened",negative
The doctor was incompetent and dismissed my symptoms,negative
The cardiology staff was unprofessional and unhelpful,negative
The pediatrics staff was dismissive and unhelpful,negative
The cardiology staff was incompetent and unhelpful,negative
"Got unprofessional treatment, my condition worsened",negative
"Got dismissive treatment, my condition worsened",negative
"Terrible service, waited 5 hours in emergency",negative
The emergency staff was negligent and unhelpful,negative
"Got incompetent treatment, my condition worsened",negative
The doctor was dismissive and dismissed my symptoms,negative
"Got incompetent treatment, my condition worsened",negative
The specialist was dismissive and ignored my concerns,negative
"Terrible care, waited 3 hours in emergency",negative
The specialist was rude and ignored my concerns,negative
The doctor was negligent and dismissed my symptoms,negative
"Terrible care, waited 6 hours in emergency",negative
"Terrible service, waited 4 hours in emergency",negative
The surgeon was dismissive and ignored my concerns,negative
The nurse was negligent and ignored my concerns,negative
The doctor was rude and ignored my concerns,negative
"Got incompetent treatment, my condition worsened",negative
"Terrible service, waited 3 hours in emergency",negative
The doctor was dismissive and dismissed my symptoms,negative
The oncology staff was unprofessional and unhelpful,negative
"Got negligent treatment, my condition worsened",negative
"Got dismissive treatment, my condition worsened",negative
"Got negligent treatment, my condition worsened",negative
"Got dismissive treatment, my condition worsened",negative
"Terrible treatment, waited 5 hours in emergency",negative
"Terrible treatment, waited 2 hours in emergency",negative
"Terrible service, waited 3 hours in emergency",negative
The doctor was incompetent and dismissed my symptoms,negative
The oncology staff was negligent and unhelpful,negative
"Got incompetent treatment, my condition worsened",negative
"Terrible treatment, waited 4 hours in emergency",negative
"Terrible service, waited 4 hours in emergency",negative
The doctor was negligent and dismissed my symptoms,negative
The technician was rude and ignored my concerns,negative
The orthopedics staff was dismissive and unhelpful,negative
"Terrible care, waited 6 hours in emergency",negative
"Got rude treatment, my condition worsened",negative
The doctor was incompetent and dismissed my symptoms,negative
The doctor was dismissive and dismissed my symptoms,negative
"Terrible service, waited 7 hours in emergency",negative
"Got unprofessional treatment, my condition worsened",negative
The surgeon was unprofessional and ignored my concerns,negative
The emergency staff was negligent and unhelpful,negative
The neurology staff was rude and unhelpful,negative
"Got negligent treatment, my condition worsened",negative
"Terrible care, waited 7 hours in emergency",negative
The specialist was negligent and ignored my concerns,negative
"Terrible care, waited 2 hours in emergency",negative
The nurse was rude and ignored my concerns,negative
The doctor was unprofessional and dismissed my symptoms,negative
The emergency staff was unprofessional and unhelpful,negative
"Got rude treatment, my condition worsened",negative
"Got incompetent treatment, my condition worsened",negative
The surgeon was unprofessional and ignored my concerns,negative
The doctor was negligent and dismissed my symptoms,negative
The doctor was dismissive and dismissed my symptoms,negative
The surgeon was unprofessional and ignored my concerns,negative
The surgeon was unprofessional and ignored my concerns,negative
"Terrible treatment, waited 3 hours in emergency",negative
The doctor was unprofessional and dismissed my symptoms,negative
"Terrible treatment, waited 5 hours in emergency",negative
"Terrible service, waited 3 hours in emergency",negative
The oncology staff was unprofessional and unhelpful,negative
The specialist was negligent and ignored my concerns,negative
The surgeon was dismissive and ignored my concerns,negative
The doctor was dismissive and dismissed my symptoms,negative
The pediatrics staff was negligent and unhelpful,negative
The receptionist was incompetent and ignored my concerns,negative
The receptionist was unprofessional and ignored my concerns,negative
"Terrible service, waited 4 hours in emergency",negative
"Got dismissive treatment, my condition worsened",negative
"Got unprofessional treatment, my condition worsened",negative
"Terrible service, waited 6 hours in emergency",negative
The doctor was negligent and dismissed my symptoms,negative
The doctor was incompetent and dismissed my symptoms,negative
"Got negligent treatment, my condition worsened",negative
The pediatrics staff was rude and unhelpful,negative
"Terrible care, waited 6 hours in emergency",negative
The nurse was unprofessional and ignored my concerns,negative
"Got unprofessional treatment, my condition worsened",negative
The doctor was rude and dismissed my symptoms,negative
"Got dismissive treatment, my condition worsened",negative
The oncology staff was rude and unhelpful,negative
The doctor was unprofessional and dismissed my symptoms,negative
"Terrible treatment, waited 6 hours in emergency",negative
The technician was negligent and ignored my concerns,negative
The doctor was dismissive and ignored my concerns,negative
The doctor was rude and ignored my concerns,negative
"Terrible service, waited 2 hours in emergency",negative
The doctor was unprofessional and dismissed my symptoms,negative
"Got negligent treatment, my condition worsened",negative
The doctor was unprofessional and dismissed my symptoms,negative
The doctor was unprofessional and dismissed my symptoms,negative
The receptionist was dismissive and ignored my concerns,negative
"Got dismissive treatment, my condition worsened",negative
"Terrible treatment, waited 4 hours in emergency",negative
"Got rude treatment, my condition worsened",negative
The specialist was rude and ignored my concerns,negative
The neurology staff was dismissive and unhelpful,negative
"Got dismissive treatment, my condition worsened",negative
"Terrible treatment, waited 4 hours in emergency",negative
"Terrible care, waited 3 hours in emergency",negative
The doctor was negligent and ignored my concerns,negative
"Terrible care, waited 3 hours in emergency",negative
The neurology staff was negligent and unhelpful,negative
"Terrible treatment, waited 3 hours in emergency",negative
The doctor was negligent and ignored my concerns,negative
The emergency staff was unprofessional and unhelpful,negative
"Terrible treatment, waited 5 hours in emergency",negative
The emergency staff was negligent and unhelpful,negative
The specialist was incompetent and ignored my concerns,negative
The doctor was dismissive and dismissed my symptoms,negative
"Terrible care, waited 4 hours in emergency",negative
The pediatrics staff was negligent and unhelpful,negative
"Terrible service, waited 6 hours in emergency",negative
"Terrible treatment, waited 2 hours in emergency",negative
"Terrible service, waited 5 hours in emergency",negative
The oncology staff was dismissive and unhelpful,negative
The neurology staff was incompetent and unhelpful,negative
"Terrible service, waited 5 hours in emergency",negative
The orthopedics staff was incompetent and unhelpful,negative
The doctor was unprofessional and dismissed my symptoms,negative
"Got unprofessional treatment, my condition worsened",negative
The orthopedics staff was incompetent and unhelpful,negative
The neurology staff was rude and unhelpful,negative
The surgeon was dismissive and ignored my concerns,negative
"Terrible care, waited 6 hours in emergency",negative
"Got incompetent treatment, my condition worsened",negative
The technician was dismissive and ignored my concerns,negative
The orthopedics staff was incompetent and unhelpful,negative
The emergency staff was unprofessional and unhelpful,negative
"Got dismissive treatment, my condition worsened",negative
The specialist was incompetent and ignored my concerns,negative
The doctor was dismissive and dismissed my symptoms,negative
The doctor was rude and dismissed my symptoms,negative
The specialist was unprofessional and ignored my concerns,negative
The doctor was dismissive and dismissed my symptoms,negative
The surgeon was rude and ignored my concerns,negative
The technician was rude and ignored my concerns,negative
The receptionist was unprofessional and ignored my concerns,negative
"Terrible service, waited 5 hours in emergency",negative
The surgeon was unprofessional and ignored my concerns,negative
"Terrible care, waited 2 hours in emergency",negative
"Got dismissive treatment, my condition worsened",negative
The doctor was unprofessional and dismissed my symptoms,negative
"Got incompetent treatment, my condition worsened",negative
"Got incompetent treatment, my condition worsened",negative
"Got incompetent treatment, my condition worsened",negative
"Terrible care, waited 6 hours in emergency",negative
The receptionist was dismissive and ignored my concerns,negative
The receptionist was incompetent and ignored my concerns,negative
"Terrible service, waited 7 hours in emergency",negative
"Got incompetent treatment, my condition worsened",negative
The pediatrics staff was rude and unhelpful,negative
"Got negligent treatment, my condition worsened",negative
"Terrible service, waited 6 hours in emergency",negative
"Got incompetent treatment, my condition worsened",negative
"Terrible care, waited 7 hours in emergency",negative
The oncology staff was negligent and unhelpful,negative
The doctor was rude and dismissed my symptoms,negative
The nurse was dismissive and ignored my concerns,negative
"Terrible service, waited 6 hours in emergency",negative
The neurology staff was unprofessional and unhelpful,negative
"Got negligent treatment, my condition worsened",negative
The nurse was incompetent and ignored my concerns,negative
The receptionist was dismissive and ignored my concerns,negative
"Terrible care, waited 6 hours in emergency",negative
"Got rude treatment, my condition worsened",negative
"Terrible service, waited 3 hours in emergency",negative
"Terrible service, waited 5 hours in emergency",negative
The receptionist was incompetent and ignored my concerns,negative
The emergency staff was incompetent and unhelpful,negative
The doctor was incompetent and dismissed my symptoms,negative
"Got incompetent treatment, my condition worsened",negative
The neurology staff was rude and unhelpful,negative
"Got dismissive treatment, my condition worsened",negative
"Terrible service, waited 7 hours in emergency",negative
The doctor was unprofessional and dismissed my symptoms,negative
"Terrible treatment, waited 5 hours in emergency",negative
"Terrible treatment, waited 4 hours in emergency",negative
The doctor was dismissive and dismissed my symptoms,negative
"Got dismissive treatment, my condition worsened",negative
"Got incompetent treatment, my condition worsened",negative
The neurology staff was negligent and unhelpful,negative
The doctor was negligent and dismissed my symptoms,negative
The receptionist was rude and ignored my concerns,negative
The doctor was unprofessional and dismissed my symptoms,negative
The doctor was dismissive and ignored my concerns,negative
The nurse was dismissive and ignored my concerns,negative
"Terrible service, waited 7 hours in emergency",negative
The doctor was negligent and dismissed my symptoms,negative
The doctor was dismissive and dismissed my symptoms,negative
The doctor was incompetent and dismissed my symptoms,negative
The doctor was negligent and dismissed my symptoms,negative
The technician was negligent and ignored my concerns,negative
The receptionist was rude and ignored my concerns,negative
"Got dismissive treatment, my condition worsened",negative
The emergency staff was incompetent and unhelpful,negative
The doctor was negligent and dismissed my symptoms,negative
The cardiology staff was incompetent and unhelpful,negative
Decent care but long waiting time,neutral
Decent service but long waiting time,neutral
Decent service but long waiting time,neutral
"The neurology was fine, nothing special",neutral
Good enough but could improve,neutral
Good enough but could improve,neutral
Decent service but long waiting time,neutral
"Average experience, the surgeon was okay",neutral
"The orthopedics was fine, nothing special",neutral
Decent service but long waiting time,neutral
"Standard care, met expectations",neutral
"The cardiology was fine, nothing special",neutral
Good enough but could improve,neutral
"Average experience, the doctor was okay",neutral
"Standard care, met expectations",neutral
Good enough but could improve,neutral
Decent experience but long waiting time,neutral
"Standard care, met expectations",neutral
"The neurology was fine, nothing special",neutral
Decent care but long waiting time,neutral
Good enough but could improve,neutral
"The emergency was fine, nothing special",neutral
Decent care but long waiting time,neutral
Decent service but long waiting time,neutral
"Average experience, the receptionist was okay",neutral
"Average experience, the surgeon was okay",neutral
"The oncology was fine, nothing special",neutral
"Standard care, met expectations",neutral
"Standard care, met expectations",neutral
"Average experience, the receptionist was okay",neutral
Good enough but could improve,neutral
Decent care but long waiting time,neutral
"Average experience, the specialist was okay",neutral
Decent service but long waiting time,neutral
Decent service but long waiting time,neutral
Good enough but could improve,neutral
"The oncology was fine, nothing special",neutral
"The pediatrics was fine, nothing special",neutral
"Average experience, the technician was okay",neutral
"Standard care, met expectations",neutral
Decent care but long waiting time,neutral
"The emergency was fine, nothing special",neutral
Decent experience but long waiting time,neutral
"Standard care, met expectations",neutral
Good enough but could improve,neutral
"The neurology was fine, nothing special",neutral
Good enough but could improve,neutral
"Average experience, the doctor was okay",neutral
Decent care but long waiting time,neutral
"Standard care, met expectations",neutral
Decent service but long waiting time,neutral
"Average experience, the doctor was okay",neutral
Good enough but could improve,neutral
"Standard care, met expectations",neutral
"Standard care, met expectations",neutral
"Average experience, the surgeon was okay",neutral
"Average experience, the receptionist was okay",neutral
"The neurology was fine, nothing special",neutral
"The neurology was fine, nothing special",neutral
"Average experience, the surgeon was okay",neutral
Good enough but could improve,neutral
"Average experience, the doctor was okay",neutral
Good enough but could improve,neutral
Decent experience but long waiting time,neutral
Decent care but long waiting time,neutral
"Standard care, met expectations",neutral
"Standard care, met expectations",neutral
"The neurology was fine, nothing special",neutral
Decent service but long waiting time,neutral
"Standard care, met expectations",neutral
Good enough but could improve,neutral
"Average experience, the specialist was okay",neutral
Good enough but could improve,neutral
"The oncology was fine, nothing special",neutral
"Average experience, the doctor was okay",neutral
Good enough but could improve,neutral
"Average experience, the surgeon was okay",neutral
"Standard care, met expectations",neutral
Good enough but could improve,neutral
Decent service but long waiting time,neutral
"Average experience, the receptionist was okay",neutral
Decent service but long waiting time,neutral
Decent experience but long waiting time,neutral
"The orthopedics was fine, nothing special",neutral
Good enough but could improve,neutral
"Standard care, met expectations",neutral
"The neurology was fine, nothing special",neutral
"The oncology was fine, nothing special",neutral
"Standard care, met expectations",neutral
"Standard care, met expectations",neutral
"Standard care, met expectations",neutral
Decent experience but long waiting time,neutral
Decent service but long waiting time,neutral
"Average experience, the receptionist was okay",neutral
Good enough but could improve,neutral
Good enough but could improve,neutral
Decent experience but long waiting time,neutral
"Average experience, the receptionist was okay",neutral
Good enough but could improve,neutral
Good enough but could improve,neutral
"The orthopedics was fine, nothing special",neutral
Decent care but long waiting time,neutral
"The cardiology was fine, nothing special",neutral
"Standard care, met expectations",neutral
Decent service but long waiting time,neutral
"Standard care, met expectations",neutral
Decent service but long waiting time,neutral
Good enough but could improve,neutral
Good enough but could improve,neutral
Good enough but could improve,neutral
"Standard care, met expectations",neutral
"The neurology was fine, nothing special",neutral
"The orthopedics was fine, nothing special",neutral
"Average experience, the doctor was okay",neutral
Decent experience but long waiting time,neutral
"The oncology was fine, nothing special",neutral
"Average experience, the surgeon was okay",neutral
"Average experience, the doctor was okay",neutral
Good enough but could improve,neutral
"Standard care, met expectations",neutral
Decent experience but long waiting time,neutral
Decent care but long waiting time,neutral
Good enough but could improve,neutral
"Average experience, the receptionist was okay",neutral
Decent care but long waiting time,neutral
"Standard care, met expectations",neutral
"Standard care, met expectations",neutral
"The neurology was fine, nothing special",neutral
Good enough but could improve,neutral
Good enough but could improve,neutral
"Standard care, met expectations",neutral
"The emergency was fine, nothing special",neutral
"Standard care, met expectations",neutral
Decent service but long waiting time,neutral
"The orthopedics was fine, nothing special",neutral
Good enough but could improve,neutral
"Average experience, the receptionist was okay",neutral
"Average experience, the receptionist was okay",neutral
"Standard care, met expectations",neutral
Decent experience but long waiting time,neutral
"The orthopedics was fine, nothing special",neutral
Decent service but long waiting time,neutral
"Standard care, met expectations",neutral
"Standard care, met expectations",neutral
"The emergency was fine, nothing special",neutral
Good enough but could improve,neutral
Decent service but long waiting time,neutral
Good enough but could improve,neutral
"Average experience, the specialist was okay",neutral
Decent service but long waiting time,neutral
Good enough but could improve,neutral
Good enough but could improve,neutral
"Standard care, met expectations",neutral
"Standard care, met expectations",neutral
"Average experience, the specialist was okay",neutral
Decent experience but long waiting time,neutral
"Standard care, met expectations",neutral
Good enough but could improve,neutral
"Average experience, the technician was okay",neutral
"The cardiology was fine, nothing special",neutral
"The emergency was fine, nothing special",neutral
"Average experience, the nurse was okay",neutral
"Average experience, the specialist was okay",neutral
"Standard care, met expectations",neutral
Decent experience but long waiting time,neutral
Decent experience but long waiting time,neutral
Decent service but long waiting time,neutral
Good enough but could improve,neutral
Decent experience but long waiting time,neutral
Decent experience but long waiting time,neutral
"The pediatrics was fine, nothing special",neutral
Decent care but long waiting time,neutral
"Average experience, the specialist was okay",neutral
"Average experience, the doctor was okay",neutral
Decent service but long waiting time,neutral
Decent experience but long waiting time,neutral
Good enough but could improve,neutral
"The pediatrics was fine, nothing special",neutral
"Standard care, met expectations",neutral
"The orthopedics was fine, nothing special",neutral
"Standard care, met expectations",neutral
Decent service but long waiting time,neutral
Decent service but long waiting time,neutral
"Average experience, the receptionist was okay",neutral
Good enough but could improve,neutral
Decent experience but long waiting time,neutral
Decent experience but long waiting time,neutral
"Standard care, met expectations",neutral
"Average experience, the receptionist was okay",neutral
"Standard care, met expectations",neutral
Good enough but could improve,neutral
Decent service but long waiting time,neutral
"Standard care, met expectations",neutral
Good enough but could improve,neutral
Good enough but could improve,neutral
Good enough but could improve,neutral
Good enough but could improve,neutral
Good enough but could improve,neutral
Decent service but long waiting time,neutral
"Average experience, the receptionist was okay",neutral
The cardiologist saved my life with emergency bypass surgery,positive
The nurse was compassionate during my chemotherapy sessions,positive
Doctor explained my MRI results clearly and patiently,positive
The surgeon was arrogant and botched my procedure,negative
"ER wait was 8 hours, then the doctor was dismissive",negative
The physical therapist helped me walk again after my accident,positive
The receptionist lost my insurance information twice,negative
The pediatrician is wonderful with my autistic child,positive
The anesthesiologist was rough and caused unnecessary pain,negative
The oncology team supported me through my entire treatment,positive
